Material No,Plant,Unrestricted Stock,Moving Average Price,Storage location,Storage Bin,Material Description,Base Unit of Measure,Reorder Point,Maximum stock level,ABC Indicator,Categorized,Date,Quantity,Consumption Reason
A12006LOCA010002,CK01,8,1134.0,PRSM,,PIN LIFTING CYLINDER NUT DIA63 X L30MM,EA,4,0.0,Obsolete,Electronics,2024-03-12,5.0,PM
A44055GAUR010001,CK01,0,0.01,PRSM,,GAURAV GAS SPRING BLOCK 90-75-T25xT20-10,EA,0,0.0,Obsolete,,2024-03-12,5.0,PM
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-03-12,5.0,PM
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-03-22,2.0,PM
A12006LOCA010002,CK01,8,1134.0,PRSM,,PIN LIFTING CYLINDER NUT DIA63 X L30MM,EA,4,0.0,Obsolete,Electronics,2024-03-22,2.0,PM
A44055GAUR010001,CK01,0,0.01,PRSM,,GAURAV GAS SPRING BLOCK 90-75-T25xT20-10,EA,0,0.0,Obsolete,,2024-03-22,2.0,PM
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-03-22,2.0,PM
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-04-10,2.0,PM
A12006LOCA010002,CK01,8,1134.0,PRSM,,PIN LIFTING CYLINDER NUT DIA63 X L30MM,EA,4,0.0,Obsolete,Electronics,2024-04-10,2.0,PM
A44055GAUR010001,CK01,0,0.01,PRSM,,GAURAV GAS SPRING BLOCK 90-75-T25xT20-10,EA,0,0.0,Obsolete,,2024-04-10,2.0,PM
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-04-10,2.0,PM
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-04-14,2.0,BD
A12006LOCA010002,CK01,8,1134.0,PRSM,,PIN LIFTING CYLINDER NUT DIA63 X L30MM,EA,4,0.0,Obsolete,Electronics,2024-04-14,2.0,BD
A44055GAUR010001,CK01,0,0.01,PRSM,,GAURAV GAS SPRING BLOCK 90-75-T25xT20-10,EA,0,0.0,Obsolete,,2024-04-14,2.0,BD
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-04-14,2.0,BD
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-04-24,2.0,BD
A12006LOCA010002,CK01,8,1134.0,PRSM,,PIN LIFTING CYLINDER NUT DIA63 X L30MM,EA,4,0.0,Obsolete,Electronics,2024-04-24,2.0,BD
A44055GAUR010001,CK01,0,0.01,PRSM,,GAURAV GAS SPRING BLOCK 90-75-T25xT20-10,EA,0,0.0,Obsolete,,2024-04-24,2.0,BD
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-04-24,2.0,BD
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-04-29,4.0,BD
A12006LOCA010002,CK01,8,1134.0,PRSM,,PIN LIFTING CYLINDER NUT DIA63 X L30MM,EA,4,0.0,Obsolete,Electronics,2024-04-29,4.0,BD
A44055GAUR010001,CK01,0,0.01,PRSM,,GAURAV GAS SPRING BLOCK 90-75-T25xT20-10,EA,0,0.0,Obsolete,,2024-04-29,4.0,BD
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-04-29,4.0,BD
CK01PFITFST002,CK01,0,186.61,PRSM,,PUSH IN FITTING NPQE-D-Q10-E-P10,EA,0,0.0,Obsolete,,2024-05-04,2.0,BD
A05016FEST080013,CK01,0,5411.3,PRSM,,FESTO SOLENOID VALVE 534557 VSVA-B-B52-H,EA,0,0.0,Obsolete,,2024-05-04,2.0,BD
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-05-04,2.0,BD
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-05-04,2.0,BD
CK01PFITFST002,CK01,0,186.61,PRSM,,PUSH IN FITTING NPQE-D-Q10-E-P10,EA,0,0.0,Obsolete,,2024-05-12,2.0,PM
A05016FEST080013,CK01,0,5411.3,PRSM,,FESTO SOLENOID VALVE 534557 VSVA-B-B52-H,EA,0,0.0,Obsolete,,2024-05-12,2.0,PM
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-05-12,2.0,PM
DIE0600266,CK01,0,0.01,PRS1,,W601 Roof 0101DW600020N/170N-D40,EA,0,0.0,Obsolete,,2024-05-12,2.0,PM
A05016FEST080013,CK01,0,5411.3,PRSM,,FESTO SOLENOID VALVE 534557 VSVA-B-B52-H,EA,0,0.0,Obsolete,,2024-05-21,1.0,PM
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-05-21,1.0,PM
A05016FEST080013,CK01,0,5411.3,PRSM,,FESTO SOLENOID VALVE 534557 VSVA-B-B52-H,EA,0,0.0,Obsolete,,2024-05-23,1.0,BD
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-05-23,1.0,BD
A05016FEST080013,CK01,0,5411.3,PRSM,,FESTO SOLENOID VALVE 534557 VSVA-B-B52-H,EA,0,0.0,Obsolete,,2024-05-27,1.0,BD
A01941SIEM010003,CK01,2,4140.9,PRSM,,SIEMENS CB OLR 1.8-2.5A 3RV20211CA15,EA,2,0.0,Obsolete,,2024-05-27,1.0,BD
CK01MPLTSAI001,CK01,0,2434.0,PRSM,j1j1j1,SS PLATE 2500X60X3MM,EA,0,0,Obsolete,,2024-06-20,2.0,BD
CK01PFITFST003,CK01,0,220.54,PRSM,,PUSH IN FITTING NPQE-D-Q12-E-P10,EA,0,0,Obsolete,,2024-07-02,2.0,BD
A01004IGUS010011,CK01,1,13268.8,PRSM,,IGUS STD CABLE 1.8MTR CHAINFLEX PWR,EA,0,0,Obsolete,Pnuematic,2024-07-03,2.0,PM
YZL0400445,CK01,0,235.0,PRSM,,MOBIL VACUOLINE 528 DR208L,L,0,0.0,Obsolete,,2024-07-09,1.0,BD
